Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Time (s)
LSTM,Base,7,8.922453969717026,6.855081021785736,-0.9207931756973267,1963.3410903930665,611.1132465452644,-104.78297424316406,1.4614359378814696
LSTM,Base,8,7.093675434589386,5.3996507078409195,-0.21410036087036133,1729.367039489746,319.119244203405,-88.88260831844356,1.16864755153656
LSTM,Base,9,8.137543499469757,6.126141548156738,-0.5977127552032471,1963.3410903930665,611.1132465452644,-104.78297424316406,2.0535544395446776
LSTM,Phys,0,6.182676181197166,4.349172115325928,0.07771533727645874,1557.8874494444794,283.7278208001273,-78.08618744188487,1.068963384628296
LSTM,Phys,1,6.037744507193565,4.505472630262375,0.12044817209243774,1469.7183649022084,268.5638789255383,-68.88110243979105,1.3380647420883178
LSTM,Phys,2,8.77981036901474,6.8554408848285675,-0.8598687648773193,1963.3410903930665,611.1132465452644,-104.78297424316406,1.3344316720962524
LSTM,Phys,3,6.322237104177475,4.541712626814842,0.03560817241668701,1476.4906012706365,279.47798009617225,-72.80040892391904,2.8425637245178224
LSTM,Phys,4,8.807673305273056,7.104890048503876,-0.8716920614242554,1729.367039489746,319.119244203405,-88.88260831844356,0.8063171625137329
LSTM,Phys,5,6.483692675828934,4.8432063311338425,-0.01427757740020752,1441.222967453728,268.12679663056286,-65.44768279340957,4.270997786521912
LSTM,Phys,6,9.010148048400879,6.818529963493347,-0.9587358236312866,1963.3410903930665,611.1132465452644,-104.78297424316406,1.8893205165863036
LSTM,Phys,7,8.156810700893402,6.166386604309082,-0.6052873134613037,1963.3410903930665,611.1132465452644,-104.78297424316406,1.7710875749588013
LSTM,Phys,8,7.154326140880585,5.345263332128525,-0.23495030403137207,1576.2716415405273,287.5221074917778,-78.47858498591043,1.395494031906128
LSTM,Phys,9,8.206664770841599,6.205496191978455,-0.6249703168869019,1729.367039489746,319.119244203405,-88.88260831844356,2.222880482673645
